"text","webVideoUrl","createTime"
"kalo gini mah ganti red paspport aja kali ya 🫡  #kaburajadulu #nandajerman #azubilife #ausbildung #fypシ゚ ","https://www.tiktok.com/@naandaadityaa/video/7472492409402756407","1739825226"
"𝐉𝐀𝐍𝐆𝐀𝐍 𝐂𝐔𝐄𝐊𝐈𝐍 𝐓𝐔𝐍𝐓𝐔𝐓𝐀𝐍 𝐌𝐀𝐇𝐀𝐒𝐈𝐒𝐖𝐀 #MahfudMD #KaburAjaDulu #IndonesiaGelap","https://www.tiktok.com/@spardaxyz5/video/7472766888582384916","1739889137"
"kabur aja dulunya kejauhan, LINTAS WAKTU 😫 mending kabur aja dulu kayak gini atau tidak sama sekali cah? 😭 #sejarah #kaburajadulu #hindiabelanda ","https://www.tiktok.com/@rumroijen/video/7471960386661666103","1739701358"
"Wamenaker tanggapi hashtag #kaburajadulu 🤯 #presiden #indonesia #prabowo #wamenaker ","https://www.tiktok.com/@haidarakbar_/video/7472383642027838738","1739799898"
"Simak nih guys! Setelah kemarin heboh, ini dia klarifikasi Wamenaker RI soal #KaburAjaDulu 🤔 Saksikan #HotroomMetroTV setiap hari Rabu pukul 21.05 WIB hanya di #MetroTV.  #kaburajadulu #socialmedia #generasiz #milenial #kerja #pekerjaan ","https://www.tiktok.com/@metro_tv/video/7473468756522454278","1740052547"
"aigoo😹#kaburajadulu ","https://www.tiktok.com/@moonfalls1/video/7470150801403727111","1739280024"
"#mandiri🇯🇵 #tgmandiri🇮🇩🇯🇵 #tokuteginou🇲🇨🇯🇵 #kaburajadulu ","https://www.tiktok.com/@zetrosimanjuntak21/video/7474942664320781576","1740395718"
"Membalas @arikurni 1 Kasih paham teman-teman, tapi jangan terlalu ngegas ya ngasih taunya #day28 #affiliatetiktok  #KaburAjaDulu #Bahlil #trend  #jepang #gajidijepang ","https://www.tiktok.com/@babagenz/video/7471111563886333202","1739503720"
"berasa paling tinggi,sampai dia lupa diri klo dia buangan dari negera nya sendiri🫣🔥🔥🔥#kenshuseijapan🇮🇩🇯🇵🎌 #kaburajadulu ","https://www.tiktok.com/@ramly460/video/7474754647152954630","1740351942"
"Menurut kalian gimana guys? #kaburajadulu #indonesia ","https://www.tiktok.com/@chuubelle/video/7471211716861250822","1739527039"
