author,updated_at,like_count,text,public
@arbmtn1774,2025-03-01T21:38:27Z,0,"Tapi pak prabowo singkirkan jauh jauh pak Jokowi karena dia akan merusak apa yg keluar dari mulutnya terdengar indah tapi dgn gampang dan ringan dia lupakan, katanya Pak Prabowo pinter kok gampang sekali dipecundangi orang yg bukan special kualifikasinya.",True
@aryudillah5781,2025-03-01T21:36:11Z,0,Makasi dg konten Dialog kaya gini bikin Paham ..makasi ko Raymond makin sukses .,True
@RetnoLintang,2025-03-01T21:35:51Z,0,"tapi belum 1 tahun pak Prabowo mimpin, koruptor triliunan pada ketangkep . 
apakah ini bagus, apakah ini untuk menggantikan mafia baru ???",True
@ichsanfirdausachmad9539,2025-03-01T21:33:46Z,0,"Hukum sekaligus keadilan negara ini, rasanya masyarakat sudah lama tidak percaya. Makanya gwe males invest di bumn, naro duit d bank swasta, invest d luar negeri.",True
@srirochani9576,2025-03-01T21:32:38Z,0,"JIKA SAJA INDONESIA INI BYK ORANG TULUS UTK NEGERI INI ,MUSTAHIL NEGERI INI BISA TERPURUK HGG SEDALAM INI ,KRN NEGERI INI SGT KAYA , TERLALU BYK ORANG RAKUS DAN TAMAK DAN  KETULUSAN RAKYAT YG TANPA BATAS UTK PEMIMPINYA . KORUPTOR YG MERAJAKELA MENAMBAH MMALANGBYA NEGERI INI 😭😭♥️🇮🇩♥️",True
@guyonjowo9913,2025-03-01T21:30:16Z,0,"yakin DANANTARA ?? lihat orang2 di dalamnya...  optimis boleh, tapi realita berkata demikian. wajib pesimis....",True
@bean7448,2025-03-01T21:29:26Z,0,bang stunting oenangannya harus ke anak 0-2 tahun 😢 gizi buruk beda sama stunting,True
@manamungkin11,2025-03-01T21:27:10Z,0,"Danantara ini kalau sampai dikorupsi, maka hancur sudah kepercayaan rakyat..",True
@a.l.mahendra9796,2025-03-01T21:21:43Z,0,"Dari yang sudah2 segala sesuatu yang ada unsur ""M"" nya pasti hasilnya kebalikan, kalo mau berhasil unsur ""M"" ini harus di hilangkan dulu :)",True
@muhammadakrom4102,2025-03-01T21:21:39Z,0,"Sepertinya kurang tepat kalau di katakan kelola dana 14000 t.
Mungkin lebih tepat kelola aset perusahaan yang bernilai 14000 t dan itu pun yang ril punya negara mungkin cuma 50% an,karena perusahaan2 itu sudah tbk,mayoritas saham scriplesnya sudah di kuasai asing.",True
@captainmarvel4630,2025-03-01T21:21:36Z,0,"JANGAN SAMPE DANANTARA TERWUJUD,,, SAMA AJA KAYA BUKA PINTU KE MALING2... YANG DIJAGA AJA MASI  BANYAK MALINGNYA APALAGI  INI!!!!",True
@BoimCarman,2025-03-01T21:21:18Z,0,Trending kan,True
@pilus2750,2025-03-01T21:16:54Z,0,"Danantara itu di buat untuk menutup sistem korupsi yg sudah mengakar di bumn, jadi kalau dana mines atau di curugai agar lngsung bisa di atasi. Dan kedepanya mungkin swasta akan berkembang di sini.
Semoga kesehatan , pendidikan dan lainya bisa di popong dari progam yg di buat itu.",True
@tamo8233,2025-03-01T21:16:36Z,0,"selama Prabowo tidak bisa mengusahakan hukuman mati bagi koruptor...saran saya, jangan pernah bermimpi mereka akan amanah...apalagi ada sby, jokowi, erick tohir dan spg bank dunia si pemiskin negara sri mulyono",True
@pilus2750,2025-03-01T21:12:24Z,0,INI PROGAM UNTUK MEMBUBARKAN BUMN CATAT TULISAN GUE.,True
